station_id,station_name,zone,station_type,sensor_maturity,baseline_cycle_time_seconds,effective_baseline_service_time_seconds,mix_weighted_service_time_seconds,weighted_workload_seconds_per_line_vehicle,nominal_line_arrival_headway_seconds,station_visit_probability,nominal_station_arrival_headway_seconds,nominal_station_arrival_rate_vehicles_per_hour,nominal_utilization_rho,service_capacity_vehicles_per_hour,line_equivalent_capacity_vehicles_per_hour,resource_capacity,inbound_buffer_ids,inbound_buffer_capacities,outbound_buffer_ids,outbound_buffer_capacities,slowdown_multiplier_to_rho_1,highest_workload_variant,highest_workload_variant_service_time_seconds,rho_at_100pct_highest_workload_variant,manual_variation_rho_at_severity_0_95_if_targeted,equipment_degradation_rho_at_severity_0_9_if_targeted,background_micro_stops_rho_at_severity_0_9_if_targeted,flow_calibrated_micro_stops_rho_at_severity_0_95_if_targeted,manual_variation_current_target,equipment_degradation_current_target,background_micro_stops_current_target,flow_calibrated_micro_stops_current_target,manual_variation_capacity_crossing_possible_current_max,equipment_degradation_capacity_crossing_possible_current_max,flow_calibrated_micro_stops_capacity_crossing_possible_current_max,vehicle_mix_capacity_crossing_possible_at_100pct_slowest,ice_sedan_service_time_seconds,ice_sedan_workload_contribution_seconds_per_line_vehicle,ice_suv_service_time_seconds,ice_suv_workload_contribution_seconds_per_line_vehicle,ev_service_time_seconds,ev_workload_contribution_seconds_per_line_vehicle
S01,Underbody Framing,body_joining,WELDING_BODY_JOINING,rich,46.0,46.0,46.966,46.966,115.0,1.0,115.0,31.304347826086957,0.4084,76.65119448111399,76.65119448111399,1,ENTRY::S01,20,B01,4,2.4485798237022527,ICE_SUV,48.760000000000005,0.42400000000000004,0.66365,0.7841279999999999,0.5616282608695652,0.7433972826086956,False,True,False,False,False,False,False,False,46.0,20.7,48.760000000000005,17.066,46.0,9.200000000000001
S02,Floor-Pan Welding,body_joining,WELDING_BODY_JOINING,rich,50.0,50.0,51.05,51.05,115.0,1.0,115.0,31.304347826086957,0.4439130434782608,70.51909892262488,70.51909892262488,1,B01,4,B02,4,2.2526934378060726,ICE_SUV,53.0,0.4608695652173913,0.7213586956521738,0.8523130434782608,0.5971413043478261,0.7789103260869563,False,True,False,False,False,False,False,False,50.0,22.5,53.0,18.549999999999997,50.0,10.0
S03,Body Side Panel Joining,body_joining,WELDING_BODY_JOINING,rich,55.0,55.0,56.54,56.54,115.0,1.0,115.0,31.304347826086957,0.49165217391304344,63.6717368234878,63.6717368234878,1,B02,4,B03,4,2.0339582596391934,ICE_SUV,59.400000000000006,0.5165217391304349,0.7989347826086955,0.9439721739130433,0.6448804347826087,0.826649456521739,False,True,False,False,False,False,False,False,55.0,24.75,59.400000000000006,20.79,55.0,11.0
S04,Roof Joining,body_joining,WELDING_BODY_JOINING,rich,42.0,42.0,42.882000000000005,42.882000000000005,115.0,1.0,115.0,31.304347826086957,0.3728869565217392,83.95130824122008,83.95130824122008,1,B03,4,B04,4,2.6817779021500856,ICE_SUV,44.52,0.3871304347826087,0.6059413043478262,0.7159429565217392,0.5261152173913044,0.7078842391304349,False,False,False,False,False,False,False,False,42.0,18.900000000000002,44.52,15.582,42.0,8.4
S05,Structural Adhesive / Body Bonding,body_joining,ADHESIVE_SEALING,partial,32.0,32.0,32.0,32.0,115.0,1.0,115.0,31.304347826086957,0.2782608695652174,112.5,112.5,1,B04,4,B05,4,3.59375,ICE_SEDAN,32.0,0.2782608695652174,0.45217391304347826,0.5342608695652173,0.43148913043478265,0.613258152173913,False,False,False,False,False,False,False,False,32.0,14.4,32.0,11.2,32.0,6.4
S06,Robotic Body Handling / Positioning,body_joining,ROBOTIC_HANDLING_ASSEMBLY,rich,30.0,30.0,30.0,30.0,115.0,1.0,115.0,31.304347826086957,0.2608695652173913,120.0,120.0,1,B05,4,B06,4,3.8333333333333335,ICE_SEDAN,30.0,0.2608695652173913,0.42391304347826086,0.5008695652173912,0.41409782608695656,0.5958668478260869,False,False,True,False,False,False,False,False,30.0,13.5,30.0,10.5,30.0,6.0
S07,Closure Panel Fitting,body_joining,ROBOTIC_HANDLING_ASSEMBLY,partial,48.0,48.0,48.0,48.0,115.0,1.0,115.0,31.304347826086957,0.41739130434782606,75.0,75.0,1,B06,4,B07,4,2.3958333333333335,ICE_SEDAN,48.0,0.41739130434782606,0.6782608695652174,0.801391304347826,0.5706195652173913,0.7523885869565218,False,False,True,False,False,False,False,False,48.0,21.6,48.0,16.799999999999997,48.0,9.600000000000001
S08,Body Geometry Inspection,body_joining,DIMENSIONAL_INSPECTION,rich,26.0,26.0,26.0,26.0,115.0,1.0,115.0,31.304347826086957,0.22608695652173913,138.46153846153845,138.46153846153845,1,B07,4,B08,4,4.423076923076923,ICE_SEDAN,26.0,0.22608695652173913,0.3673913043478261,0.4340869565217391,0.37931521739130436,0.5610842391304348,False,False,False,False,False,False,False,False,26.0,11.700000000000001,26.0,9.1,26.0,5.2
S09,Additional Spot Welding / Reinforcement,body_joining,WELDING_BODY_JOINING,rich,38.0,38.0,38.0,38.0,115.0,1.0,115.0,31.304347826086957,0.33043478260869563,94.73684210526316,94.73684210526316,1,B08,4,B09,4,3.0263157894736845,ICE_SEDAN,38.0,0.33043478260869563,0.5369565217391304,0.6344347826086956,0.4836630434782609,0.6654320652173913,False,True,False,False,False,False,False,False,38.0,17.1,38.0,13.299999999999999,38.0,7.6000000000000005
S10,Seam / Body Joining,body_joining,WELDING_BODY_JOINING,rich,44.0,44.0,44.0,44.0,115.0,1.0,115.0,31.304347826086957,0.3826086956521739,81.81818181818181,81.81818181818181,1,B09,4,B10,4,2.6136363636363638,ICE_SEDAN,44.0,0.3826086956521739,0.6217391304347826,0.7346086956521739,0.5358369565217391,0.7176059782608696,False,True,False,False,False,False,False,False,44.0,19.8,44.0,15.399999999999999,44.0,8.8
