record_type,headway_seconds,seed,vehicles_completed,simulated_duration_seconds,throughput_vehicles_per_hour_full_run,throughput_vehicles_per_hour_steady,completion_headway_cv_steady,blocked_episode_count,total_blocked_seconds,blocked_fraction_of_station_time,total_starved_seconds,starved_fraction_of_station_time,mean_buffer_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_time_weighted,max_single_buffer_p95_occupancy_ratio_time_weighted,p95_buffer_occupancy_ratio_at_state_changes,mean_line_wip_time_weighted,physical_rho_max,physical_headroom_station_count_lt_65pct,physical_moderate_station_count_65_75pct,physical_sensitive_station_count_75_95pct,physical_overloaded_station_count_ge_95pct,run_count,healthy_runs_with_any_blocking,max_blocked_seconds_one_run,mean_throughput_vehicles_per_hour_full_run,std_throughput_vehicles_per_hour_full_run,mean_throughput_vehicles_per_hour_steady,std_throughput_vehicles_per_hour_steady,mean_completion_headway_cv_steady,std_completion_headway_cv_steady,mean_blocked_episode_count,std_blocked_episode_count,mean_total_blocked_seconds,std_total_blocked_seconds,mean_blocked_fraction_of_station_time,std_blocked_fraction_of_station_time,mean_total_starved_seconds,std_total_starved_seconds,mean_starved_fraction_of_station_time,std_starved_fraction_of_station_time,mean_mean_buffer_occupancy_ratio_time_weighted,std_mean_buffer_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_time_weighted,std_p95_buffer_occupancy_ratio_time_weighted,mean_max_single_buffer_p95_occupancy_ratio_time_weighted,std_max_single_buffer_p95_occupancy_ratio_time_weighted,mean_p95_buffer_occupancy_ratio_at_state_changes,std_p95_buffer_occupancy_ratio_at_state_changes,mean_mean_line_wip_time_weighted,std_mean_line_wip_time_weighted
run,115.0,31001,450,53847.61751621114,30.084896504702176,31.07175253926089,0.3604979925499281,0,0.0,0.0,1492237.2847329187,0.6158272190898169,0.00109149521574543,0.0,0.25,0.25,17.48657817566719,0.7881739130434783,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,115.0,31002,450,54002.7144913073,29.99849202507714,31.21556075629036,0.40832135552794635,0,0.0,0.0,1500407.7150397927,0.6174206978598826,0.0010077461437565064,0.0,0.25,0.25,17.39991258708135,0.7881739130434783,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,115.0,31003,450,53386.72893888647,30.34461994954714,31.51772533327431,0.3790871370975473,0,0.0,0.0,1472730.0587383315,0.6130237849202868,0.0012011196147267273,0.0,0.25,0.25,17.633316082236792,0.7881739130434783,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,115.0,31004,450,53688.377061914114,30.174128715639807,31.245095373109006,0.39092677799719344,0,0.0,0.0,1486035.2043832648,0.61508666026108,0.0010420020788314546,0.0,0.25,0.25,17.512024415563722,0.7881739130434783,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,115.0,31005,450,53507.384960082214,30.27619460768936,31.54489563638757,0.3937571600454387,0,0.0,0.0,1478392.5458638805,0.6139931471211546,0.0010120058501577112,0.0,0.25,0.25,17.555542711794494,0.7881739130434783,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,112.5,31001,450,52722.617516211154,30.726850758156733,31.758943367408875,0.35922749701764967,0,0.0,0.0,1441612.2847329192,0.6076297054062244,0.0012611673870693352,0.0,0.25,0.25,17.886436379186037,0.8056888888888889,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,112.5,31002,450,52877.7144913073,30.636725047303546,31.909198303880395,0.4052234202326516,0,0.0,0.0,1449782.9781543047,0.6092812411519111,0.0011919822929879267,0.0,0.25,0.25,17.799609030698427,0.8056888888888889,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,112.5,31003,450,52263.58790391093,30.996723818090068,32.22552382531626,0.37646059592782377,0,0.0,0.0,1422188.7121644323,0.604707691744391,0.0013753680488139584,0.0,0.25,0.25,18.039328692732553,0.8056888888888889,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,112.5,31004,450,52565.877061914114,30.8184718023805,31.938355555601905,0.38588961397827926,0,0.0,0.0,1435522.704383265,0.606867160311559,0.00120740030826828,0.0,0.25,0.25,17.912197932107688,0.8056888888888889,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run,112.5,31005,450,52382.38496008222,30.926426913064653,32.2514005421014,0.3940989621832699,0,0.0,0.0,1427767.5458638808,0.605702999396502,0.0011555646325948012,0.0,0.25,0.25,17.954903712857874,0.8056888888888889,42,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
