station_id,station_name,zone,station_type,sensor_maturity,baseline_cycle_time_seconds,effective_baseline_service_time_seconds,mix_weighted_service_time_seconds,weighted_workload_seconds_per_line_vehicle,nominal_line_arrival_headway_seconds,station_visit_probability,nominal_station_arrival_headway_seconds,nominal_station_arrival_rate_vehicles_per_hour,nominal_utilization_rho,service_capacity_vehicles_per_hour,line_equivalent_capacity_vehicles_per_hour,resource_capacity,inbound_buffer_ids,inbound_buffer_capacities,outbound_buffer_ids,outbound_buffer_capacities,slowdown_multiplier_to_rho_1,highest_workload_variant,highest_workload_variant_service_time_seconds,rho_at_100pct_highest_workload_variant,manual_variation_rho_at_severity_0_95_if_targeted,equipment_degradation_rho_at_severity_0_9_if_targeted,background_micro_stops_rho_at_severity_0_9_if_targeted,flow_calibrated_micro_stops_rho_at_severity_0_95_if_targeted,manual_variation_current_target,equipment_degradation_current_target,background_micro_stops_current_target,flow_calibrated_micro_stops_current_target,manual_variation_capacity_crossing_possible_current_max,equipment_degradation_capacity_crossing_possible_current_max,flow_calibrated_micro_stops_capacity_crossing_possible_current_max,vehicle_mix_capacity_crossing_possible_at_100pct_slowest,ice_sedan_service_time_seconds,ice_sedan_workload_contribution_seconds_per_line_vehicle,ice_suv_service_time_seconds,ice_suv_workload_contribution_seconds_per_line_vehicle,ev_service_time_seconds,ev_workload_contribution_seconds_per_line_vehicle,cycle_time_changed,old_baseline_cycle_time_seconds,new_baseline_cycle_time_seconds,rho_before_at_100_0s,rho_after_at_100_0s,rho_before_at_102_5s,rho_after_at_102_5s,rho_before_at_105_0s,rho_after_at_105_0s
S01,Underbody Framing,body_joining,WELDING_BODY_JOINING,rich,46.0,46.0,46.966,46.966,102.5,1.0,102.5,35.1219512195122,0.4582048780487805,76.65119448111399,76.65119448111399,1,ENTRY::S01,20,B01,4,2.182429842865051,ICE_SUV,48.760000000000005,0.47570731707317077,0.7445829268292683,0.8797533658536586,0.630119512195122,0.8340554878048779,False,True,False,False,False,False,False,False,46.0,20.7,48.760000000000005,17.066,46.0,9.200000000000001,False,46.0,46.0,0.46966,0.46966,0.4582048780487805,0.4582048780487805,0.4472952380952381,0.4472952380952381
S02,Floor-Pan Welding,body_joining,WELDING_BODY_JOINING,rich,50.0,50.0,51.05,51.05,102.5,1.0,102.5,35.1219512195122,0.4980487804878049,70.51909892262488,70.51909892262488,1,B01,4,B02,4,2.0078354554358473,ICE_SUV,53.0,0.5170731707317073,0.8093292682926829,0.9562536585365853,0.6699634146341463,0.8738993902439023,False,True,False,False,False,False,False,False,50.0,22.5,53.0,18.549999999999997,50.0,10.0,False,50.0,50.0,0.5105,0.5105,0.4980487804878049,0.4980487804878049,0.4861904761904762,0.4861904761904762
S03,Body Side Panel Joining,body_joining,WELDING_BODY_JOINING,rich,55.0,55.0,56.54,56.54,102.5,1.0,102.5,35.1219512195122,0.551609756097561,63.6717368234878,63.6717368234878,1,B02,4,B03,4,1.8128758401131941,ICE_SUV,59.400000000000006,0.5795121951219513,0.8963658536585366,1.059090731707317,0.7235243902439024,0.9274603658536584,False,True,False,False,False,True,False,False,55.0,24.75,59.400000000000006,20.79,55.0,11.0,False,55.0,55.0,0.5654,0.5654,0.551609756097561,0.551609756097561,0.5384761904761904,0.5384761904761904
S04,Roof Joining,body_joining,WELDING_BODY_JOINING,rich,42.0,42.0,42.882000000000005,42.882000000000005,102.5,1.0,102.5,35.1219512195122,0.41836097560975616,83.95130824122008,83.95130824122008,1,B03,4,B04,4,2.390280304090294,ICE_SUV,44.52,0.4343414634146342,0.6798365853658538,0.8032530731707318,0.5902756097560976,0.7942115853658537,False,False,False,False,False,False,False,False,42.0,18.900000000000002,44.52,15.582,42.0,8.4,False,42.0,42.0,0.42882000000000003,0.42882000000000003,0.41836097560975616,0.41836097560975616,0.40840000000000004,0.40840000000000004
S05,Structural Adhesive / Body Bonding,body_joining,ADHESIVE_SEALING,partial,32.0,32.0,32.0,32.0,102.5,1.0,102.5,35.1219512195122,0.3121951219512195,112.5,112.5,1,B04,4,B05,4,3.203125,ICE_SEDAN,32.0,0.3121951219512195,0.5073170731707317,0.5994146341463414,0.484109756097561,0.6880457317073171,False,False,False,False,False,False,False,False,32.0,14.4,32.0,11.2,32.0,6.4,False,32.0,32.0,0.32,0.32,0.3121951219512195,0.3121951219512195,0.3047619047619048,0.3047619047619048
S06,Robotic Body Handling / Positioning,body_joining,ROBOTIC_HANDLING_ASSEMBLY,rich,30.0,30.0,30.0,30.0,102.5,1.0,102.5,35.1219512195122,0.2926829268292683,120.0,120.0,1,B05,4,B06,4,3.416666666666667,ICE_SEDAN,30.0,0.2926829268292683,0.47560975609756095,0.5619512195121951,0.4645975609756098,0.6685335365853659,False,False,True,False,False,False,False,False,30.0,13.5,30.0,10.5,30.0,6.0,False,30.0,30.0,0.3,0.3,0.2926829268292683,0.2926829268292683,0.2857142857142857,0.2857142857142857
S07,Closure Panel Fitting,body_joining,ROBOTIC_HANDLING_ASSEMBLY,partial,48.0,48.0,48.0,48.0,102.5,1.0,102.5,35.1219512195122,0.4682926829268293,75.0,75.0,1,B06,4,B07,4,2.1354166666666665,ICE_SEDAN,48.0,0.4682926829268293,0.7609756097560976,0.8991219512195122,0.6402073170731708,0.8441432926829269,False,False,True,False,False,False,False,False,48.0,21.6,48.0,16.799999999999997,48.0,9.600000000000001,False,48.0,48.0,0.48,0.48,0.4682926829268293,0.4682926829268293,0.45714285714285713,0.45714285714285713
S08,Body Geometry Inspection,body_joining,DIMENSIONAL_INSPECTION,rich,26.0,26.0,26.0,26.0,102.5,1.0,102.5,35.1219512195122,0.25365853658536586,138.46153846153845,138.46153846153845,1,B07,4,B08,4,3.942307692307692,ICE_SEDAN,26.0,0.25365853658536586,0.41219512195121955,0.4870243902439024,0.42557317073170736,0.6295091463414634,False,False,False,False,False,False,False,False,26.0,11.700000000000001,26.0,9.1,26.0,5.2,False,26.0,26.0,0.26,0.26,0.25365853658536586,0.25365853658536586,0.24761904761904763,0.24761904761904763
S09,Additional Spot Welding / Reinforcement,body_joining,WELDING_BODY_JOINING,rich,38.0,38.0,38.0,38.0,102.5,1.0,102.5,35.1219512195122,0.37073170731707317,94.73684210526316,94.73684210526316,1,B08,4,B09,4,2.6973684210526314,ICE_SEDAN,38.0,0.37073170731707317,0.6024390243902439,0.7118048780487805,0.5426463414634146,0.7465823170731707,False,True,False,False,False,False,False,False,38.0,17.1,38.0,13.299999999999999,38.0,7.6000000000000005,False,38.0,38.0,0.38,0.38,0.37073170731707317,0.37073170731707317,0.3619047619047619,0.3619047619047619
S10,Seam / Body Joining,body_joining,WELDING_BODY_JOINING,rich,44.0,44.0,44.0,44.0,102.5,1.0,102.5,35.1219512195122,0.4292682926829268,81.81818181818181,81.81818181818181,1,B09,4,B10,3,2.3295454545454546,ICE_SEDAN,44.0,0.4292682926829268,0.697560975609756,0.8241951219512195,0.6011829268292683,0.8051189024390244,False,True,False,False,False,False,False,False,44.0,19.8,44.0,15.399999999999999,44.0,8.8,False,44.0,44.0,0.44,0.44,0.4292682926829268,0.4292682926829268,0.41904761904761906,0.41904761904761906
