headway_seconds,station_id,station_name,zone,station_type,mechanism,applicable,baseline_rho,mild_severity_value,mild_physical_parameter,mild_effective_rho,moderate_severity_value,moderate_physical_parameter,moderate_effective_rho,severe_severity_value,severe_physical_parameter,severe_effective_rho,classification,highest_workload_variant,equation_source,buffer_capacity_used_in_classification,notes
100.0,S01,Underbody Framing,body_joining,WELDING_BODY_JOINING,MANUAL_VARIATION,False,0.46966,0.25,cycle_multiplier=1.2750,0.46966,0.5,cycle_multiplier=1.4000,0.46966,0.8,cycle_multiplier=1.5500,0.46966,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S01,Underbody Framing,body_joining,WELDING_BODY_JOINING,MICRO_STOPS,True,0.46966,0.25,expected_extra_seconds_per_visit=7.5672,0.545331875,0.5,expected_extra_seconds_per_visit=15.8813,0.6284725,0.8,expected_extra_seconds_per_visit=29.8800,0.76846,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S01,Underbody Framing,body_joining,WELDING_BODY_JOINING,VEHICLE_MIX_OVERLOAD,True,0.46966,0.25,shift_toward_actual_slowest_variant=0.25,0.47414500000000004,0.5,shift_toward_actual_slowest_variant=0.60,0.480424,0.8,shift_toward_actual_slowest_variant=1.00,0.48760000000000003,INCAPABLE,ICE_SUV,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S01,Underbody Framing,body_joining,WELDING_BODY_JOINING,ARRIVAL_BURST,True,0.46966,0.25,arrival_headway_multiplier=0.95,0.4943789473684211,0.5,arrival_headway_multiplier=0.88,0.5337045454545455,0.8,arrival_headway_multiplier=0.78,0.6021282051282051,INCAPABLE,,provisional Phase-D demand-side design; not yet implemented,False,capacity classification uses service/demand deficit only
100.0,S01,Underbody Framing,body_joining,WELDING_BODY_JOINING,EQUIPMENT_DEGRADATION_UNSEEN,True,0.46966,0.25,cycle_multiplier=1.4000,0.657524,0.5,cycle_multiplier=1.6000,0.7514560000000001,0.8,cycle_multiplier=1.8400,0.8641744000000001,INCAPABLE,,current Flow-v2 physical equation,False,UNSEEN robustness only; excluded from supervised development
100.0,S02,Floor-Pan Welding,body_joining,WELDING_BODY_JOINING,MANUAL_VARIATION,False,0.5105,0.25,cycle_multiplier=1.2750,0.5105,0.5,cycle_multiplier=1.4000,0.5105,0.8,cycle_multiplier=1.5500,0.5105,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S02,Floor-Pan Welding,body_joining,WELDING_BODY_JOINING,MICRO_STOPS,True,0.5105,0.25,expected_extra_seconds_per_visit=7.5672,0.586171875,0.5,expected_extra_seconds_per_visit=15.8813,0.6693125,0.8,expected_extra_seconds_per_visit=29.8800,0.8092999999999999,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S02,Floor-Pan Welding,body_joining,WELDING_BODY_JOINING,VEHICLE_MIX_OVERLOAD,True,0.5105,0.25,shift_toward_actual_slowest_variant=0.25,0.515375,0.5,shift_toward_actual_slowest_variant=0.60,0.5222,0.8,shift_toward_actual_slowest_variant=1.00,0.53,INCAPABLE,ICE_SUV,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S02,Floor-Pan Welding,body_joining,WELDING_BODY_JOINING,ARRIVAL_BURST,True,0.5105,0.25,arrival_headway_multiplier=0.95,0.5373684210526316,0.5,arrival_headway_multiplier=0.88,0.5801136363636363,0.8,arrival_headway_multiplier=0.78,0.6544871794871794,INCAPABLE,,provisional Phase-D demand-side design; not yet implemented,False,capacity classification uses service/demand deficit only
100.0,S02,Floor-Pan Welding,body_joining,WELDING_BODY_JOINING,EQUIPMENT_DEGRADATION_UNSEEN,True,0.5105,0.25,cycle_multiplier=1.4000,0.7146999999999999,0.5,cycle_multiplier=1.6000,0.8168,0.8,cycle_multiplier=1.8400,0.9393199999999999,HARD_NEGATIVE,,current Flow-v2 physical equation,False,UNSEEN robustness only; excluded from supervised development
100.0,S03,Body Side Panel Joining,body_joining,WELDING_BODY_JOINING,MANUAL_VARIATION,False,0.5654,0.25,cycle_multiplier=1.2750,0.5654,0.5,cycle_multiplier=1.4000,0.5654,0.8,cycle_multiplier=1.5500,0.5654,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S03,Body Side Panel Joining,body_joining,WELDING_BODY_JOINING,MICRO_STOPS,True,0.5654,0.25,expected_extra_seconds_per_visit=7.5672,0.6410718750000001,0.5,expected_extra_seconds_per_visit=15.8813,0.7242125,0.8,expected_extra_seconds_per_visit=29.8800,0.8642000000000001,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S03,Body Side Panel Joining,body_joining,WELDING_BODY_JOINING,VEHICLE_MIX_OVERLOAD,True,0.5654,0.25,shift_toward_actual_slowest_variant=0.25,0.57255,0.5,shift_toward_actual_slowest_variant=0.60,0.5825600000000001,0.8,shift_toward_actual_slowest_variant=1.00,0.5940000000000001,INCAPABLE,ICE_SUV,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S03,Body Side Panel Joining,body_joining,WELDING_BODY_JOINING,ARRIVAL_BURST,True,0.5654,0.25,arrival_headway_multiplier=0.95,0.5951578947368421,0.5,arrival_headway_multiplier=0.88,0.6425,0.8,arrival_headway_multiplier=0.78,0.7248717948717949,INCAPABLE,,provisional Phase-D demand-side design; not yet implemented,False,capacity classification uses service/demand deficit only
100.0,S03,Body Side Panel Joining,body_joining,WELDING_BODY_JOINING,EQUIPMENT_DEGRADATION_UNSEEN,True,0.5654,0.25,cycle_multiplier=1.4000,0.7915599999999999,0.5,cycle_multiplier=1.6000,0.9046400000000001,0.8,cycle_multiplier=1.8400,1.0403360000000001,BORDERLINE,,current Flow-v2 physical equation,False,UNSEEN robustness only; excluded from supervised development
100.0,S04,Roof Joining,body_joining,WELDING_BODY_JOINING,MANUAL_VARIATION,False,0.42882000000000003,0.25,cycle_multiplier=1.2750,0.42882000000000003,0.5,cycle_multiplier=1.4000,0.42882000000000003,0.8,cycle_multiplier=1.5500,0.42882000000000003,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
100.0,S04,Roof Joining,body_joining,WELDING_BODY_JOINING,MICRO_STOPS,True,0.42882000000000003,0.25,expected_extra_seconds_per_visit=7.5672,0.504491875,0.5,expected_extra_seconds_per_visit=15.8813,0.5876325,0.8,expected_extra_seconds_per_visit=29.8800,0.72762,INCAPABLE,,current Flow-v2 physical equation,False,capacity classification uses service/demand deficit only
