station_id,station_name,zone,station_type,mechanism,supervision_role,severity,severity_value,profile,baseline_rho,scenario_duration_minutes,scenario_duration_station_cycles,buffer_capacity,buffer_used_to_determine_capability,physical_parameter,expected_effective_service_time_seconds,expected_arrival_rate_vehicles_per_hour,expected_service_capacity_vehicles_per_hour,effective_rho,peak_effective_rho,expected_demand_service_deficit_vehicles_per_hour,theoretical_time_to_fill_minutes_if_deficit_persists,classification
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,STEP,0.7024390243902439,25.0,20.833333333333332,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=1.0000,80.64000000000001,35.1219512195122,44.64285714285713,0.7867317073170734,0.7867317073170732,-9.520905923344934,,INCAPABLE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,GRADUAL,0.7024390243902439,25.0,20.833333333333332,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7500,78.48,35.1219512195122,45.87155963302752,0.7656585365853659,0.7867317073170732,-10.749608413515325,,INCAPABLE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,RECOVERING,0.7024390243902439,25.0,20.833333333333332,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7000,78.048,35.1219512195122,46.125461254612546,0.7614439024390245,0.7867317073170732,-11.003510035100348,,INCAPABLE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,STEP,0.7024390243902439,40.0,33.333333333333336,3,False,peak_cycle_multiplier=1.4500; profile_average_fraction=1.0000,104.39999999999999,35.1219512195122,34.48275862068966,1.0185365853658537,1.0185365853658537,0.6391925988225395,281.6052631578949,BORDERLINE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,GRADUAL,0.7024390243902439,40.0,33.333333333333336,3,False,peak_cycle_multiplier=1.4500; profile_average_fraction=0.7500,96.3,35.1219512195122,37.38317757009346,0.9395121951219513,1.0185365853658537,-2.2612263505812606,,BORDERLINE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,RECOVERING,0.7024390243902439,40.0,33.333333333333336,3,False,peak_cycle_multiplier=1.4500; profile_average_fraction=0.7000,94.67999999999999,35.1219512195122,38.02281368821293,0.9237073170731708,1.0185365853658537,-2.90086246870073,,BORDERLINE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,STEP,0.7024390243902439,60.0,50.0,3,False,peak_cycle_multiplier=1.5944; profile_average_fraction=1.0000,114.80000000000003,35.1219512195122,31.358885017421596,1.1200000000000003,1.12,3.7630662020906023,47.83333333333321,POSITIVE_CAPABLE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,GRADUAL,0.7024390243902439,60.0,50.0,3,False,peak_cycle_multiplier=1.5944; profile_average_fraction=0.7500,104.10000000000001,35.1219512195122,34.582132564841494,1.0156097560975612,1.12,0.5398186546707038,333.4453124999955,BORDERLINE
S11,Body Finishing / Manual Inspection,body_joining,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,RECOVERING,0.7024390243902439,60.0,50.0,3,False,peak_cycle_multiplier=1.5944; profile_average_fraction=0.7000,101.96000000000001,35.1219512195122,35.30796390741467,0.9947317073170734,1.12,-0.18601268790246905,,BORDERLINE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,STEP,0.7317073170731707,25.0,20.0,5,False,peak_cycle_multiplier=1.1200; profile_average_fraction=1.0000,84.00000000000001,35.1219512195122,42.85714285714285,0.8195121951219515,0.8195121951219513,-7.735191637630649,,INCAPABLE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,GRADUAL,0.7317073170731707,25.0,20.0,5,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7500,81.75,35.1219512195122,44.03669724770642,0.7975609756097561,0.8195121951219513,-8.914746028194223,,INCAPABLE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,RECOVERING,0.7317073170731707,25.0,20.0,5,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7000,81.30000000000001,35.1219512195122,44.28044280442804,0.7931707317073172,0.8195121951219513,-9.158491584915843,,INCAPABLE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,STEP,0.7317073170731707,40.0,32.0,5,False,peak_cycle_multiplier=1.3940; profile_average_fraction=1.0000,104.55000000000001,35.1219512195122,34.43328550932568,1.0200000000000002,1.02,0.6886657101865197,435.6249999999962,BORDERLINE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,GRADUAL,0.7317073170731707,40.0,32.0,5,False,peak_cycle_multiplier=1.3940; profile_average_fraction=0.7500,97.16250000000001,35.1219512195122,37.05133153222694,0.9479268292682927,1.02,-1.9293803127147413,,BORDERLINE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,RECOVERING,0.7317073170731707,40.0,32.0,5,False,peak_cycle_multiplier=1.3940; profile_average_fraction=0.7000,95.685,35.1219512195122,37.62345195171657,0.9335121951219514,1.02,-2.50150073220437,,BORDERLINE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,STEP,0.7317073170731707,60.0,48.0,5,False,peak_cycle_multiplier=1.5307; profile_average_fraction=1.0000,114.80000000000001,35.1219512195122,31.3588850174216,1.12,1.12,3.7630662020905987,79.72222222222209,POSITIVE_CAPABLE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,GRADUAL,0.7317073170731707,60.0,48.0,5,False,peak_cycle_multiplier=1.5307; profile_average_fraction=0.7500,104.85000000000001,35.1219512195122,34.33476394849785,1.022926829268293,1.12,0.7871872710143464,381.1037234042528,BORDERLINE
S21,Trim Preparation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,RECOVERING,0.7317073170731707,60.0,48.0,5,False,peak_cycle_multiplier=1.5307; profile_average_fraction=0.7000,102.86000000000001,35.1219512195122,34.999027804783196,1.0035121951219514,1.12,0.12292341472900148,2440.5439814813462,BORDERLINE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,STEP,0.8842926829268293,25.0,16.548984995586938,4,False,peak_cycle_multiplier=1.0404; profile_average_fraction=1.0000,94.3,35.1219512195122,38.17603393425239,0.92,0.92,-3.05408271474019,,HARD_NEGATIVE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,GRADUAL,0.8842926829268293,25.0,16.548984995586938,4,False,peak_cycle_multiplier=1.0404; profile_average_fraction=0.7500,93.385,35.1219512195122,38.55008834395245,0.9110731707317075,0.92,-3.428137124440255,,HARD_NEGATIVE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,RECOVERING,0.8842926829268293,25.0,16.548984995586938,4,False,peak_cycle_multiplier=1.0404; profile_average_fraction=0.7000,93.202,35.1219512195122,38.62578056264887,0.9092878048780488,0.92,-3.5038293431366725,,HARD_NEGATIVE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,STEP,0.8842926829268293,40.0,26.4783759929391,4,False,peak_cycle_multiplier=1.1535; profile_average_fraction=1.0000,104.55000000000001,35.1219512195122,34.43328550932568,1.0200000000000002,1.02,0.6886657101865197,348.49999999999693,BORDERLINE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,GRADUAL,0.8842926829268293,40.0,26.4783759929391,4,False,peak_cycle_multiplier=1.1535; profile_average_fraction=0.7500,101.0725,35.1219512195122,35.61799698236414,0.9860731707317075,1.02,-0.49604576285194213,,BORDERLINE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,RECOVERING,0.8842926829268293,40.0,26.4783759929391,4,False,peak_cycle_multiplier=1.1535; profile_average_fraction=0.7000,100.37700000000001,35.1219512195122,35.86478974267013,0.9792878048780489,1.02,-0.7428385231579355,,BORDERLINE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,STEP,0.8842926829268293,60.0,39.717563989408646,4,False,peak_cycle_multiplier=1.2665; profile_average_fraction=1.0000,114.80000000000001,35.1219512195122,31.3588850174216,1.12,1.12,3.7630662020905987,63.777777777777665,POSITIVE_CAPABLE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,GRADUAL,0.8842926829268293,60.0,39.717563989408646,4,False,peak_cycle_multiplier=1.2665; profile_average_fraction=0.7500,108.76,35.1219512195122,33.10040456050018,1.0610731707317076,1.12,2.0215466590120172,118.72097976570785,POSITIVE_CAPABLE
S22,Wiring Harness Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,RECOVERING,0.8842926829268293,60.0,39.717563989408646,4,False,peak_cycle_multiplier=1.2665; profile_average_fraction=0.7000,107.552,35.1219512195122,33.4721808985421,1.049287804878049,1.12,1.6497703209700987,145.4747954605433,BORDERLINE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,STEP,0.7317073170731707,25.0,20.0,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=1.0000,84.00000000000001,35.1219512195122,42.85714285714285,0.8195121951219515,0.8195121951219513,-7.735191637630649,,INCAPABLE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,GRADUAL,0.7317073170731707,25.0,20.0,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7500,81.75,35.1219512195122,44.03669724770642,0.7975609756097561,0.8195121951219513,-8.914746028194223,,INCAPABLE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,RECOVERING,0.7317073170731707,25.0,20.0,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7000,81.30000000000001,35.1219512195122,44.28044280442804,0.7931707317073172,0.8195121951219513,-9.158491584915843,,INCAPABLE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,STEP,0.7317073170731707,40.0,32.0,3,False,peak_cycle_multiplier=1.3940; profile_average_fraction=1.0000,104.55000000000001,35.1219512195122,34.43328550932568,1.0200000000000002,1.02,0.6886657101865197,261.3749999999977,BORDERLINE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,GRADUAL,0.7317073170731707,40.0,32.0,3,False,peak_cycle_multiplier=1.3940; profile_average_fraction=0.7500,97.16250000000001,35.1219512195122,37.05133153222694,0.9479268292682927,1.02,-1.9293803127147413,,BORDERLINE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,RECOVERING,0.7317073170731707,40.0,32.0,3,False,peak_cycle_multiplier=1.3940; profile_average_fraction=0.7000,95.685,35.1219512195122,37.62345195171657,0.9335121951219514,1.02,-2.50150073220437,,BORDERLINE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,STEP,0.7317073170731707,60.0,48.0,3,False,peak_cycle_multiplier=1.5307; profile_average_fraction=1.0000,114.80000000000001,35.1219512195122,31.3588850174216,1.12,1.12,3.7630662020905987,47.83333333333325,POSITIVE_CAPABLE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,GRADUAL,0.7317073170731707,60.0,48.0,3,False,peak_cycle_multiplier=1.5307; profile_average_fraction=0.7500,104.85000000000001,35.1219512195122,34.33476394849785,1.022926829268293,1.12,0.7871872710143464,228.66223404255163,BORDERLINE
S24,HVAC / Interior Module Installation,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,RECOVERING,0.7317073170731707,60.0,48.0,3,False,peak_cycle_multiplier=1.5307; profile_average_fraction=0.7000,102.86000000000001,35.1219512195122,34.999027804783196,1.0035121951219514,1.12,0.12292341472900148,1464.3263888888075,BORDERLINE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,STEP,0.5658536585365853,25.0,25.862068965517242,4,False,peak_cycle_multiplier=1.1200; profile_average_fraction=1.0000,64.96000000000001,35.1219512195122,55.418719211822655,0.6337560975609757,0.6337560975609756,-20.296767992310457,,INCAPABLE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,GRADUAL,0.5658536585365853,25.0,25.862068965517242,4,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7500,63.220000000000006,35.1219512195122,56.94400506168933,0.6167804878048782,0.6337560975609756,-21.822053842177134,,INCAPABLE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,RECOVERING,0.5658536585365853,25.0,25.862068965517242,4,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7000,62.87200000000001,35.1219512195122,57.25919328158798,0.6133853658536587,0.6337560975609756,-22.137242062075785,,INCAPABLE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,STEP,0.5658536585365853,40.0,41.37931034482759,4,False,peak_cycle_multiplier=1.4500; profile_average_fraction=1.0000,84.1,35.1219512195122,42.80618311533888,0.8204878048780488,0.8204878048780487,-7.684231895826684,,INCAPABLE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,GRADUAL,0.5658536585365853,40.0,41.37931034482759,4,False,peak_cycle_multiplier=1.4500; profile_average_fraction=0.7500,77.57499999999999,35.1219512195122,46.40670319046085,0.7568292682926828,0.8204878048780487,-11.284751970948655,,INCAPABLE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,RECOVERING,0.5658536585365853,40.0,41.37931034482759,4,False,peak_cycle_multiplier=1.4500; profile_average_fraction=0.7000,76.27,35.1219512195122,47.20073423364364,0.7440975609756098,0.8204878048780487,-12.078783014131439,,INCAPABLE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,STEP,0.5658536585365853,60.0,62.06896551724138,4,False,peak_cycle_multiplier=1.6500; profile_average_fraction=1.0000,95.69999999999999,35.1219512195122,37.61755485893418,0.9336585365853657,0.9336585365853657,-2.4956036394219794,,HARD_NEGATIVE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,GRADUAL,0.5658536585365853,60.0,62.06896551724138,4,False,peak_cycle_multiplier=1.6500; profile_average_fraction=0.7500,86.27499999999999,35.1219512195122,41.727035641842946,0.8417073170731708,0.9336585365853657,-6.605084422330748,,HARD_NEGATIVE
S33,Door / Closure Finishing,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,RECOVERING,0.5658536585365853,60.0,62.06896551724138,4,False,peak_cycle_multiplier=1.6500; profile_average_fraction=0.7000,84.38999999999999,35.1219512195122,42.65908282971917,0.8233170731707317,0.9336585365853657,-7.53713161020697,,HARD_NEGATIVE
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,STEP,0.6634146341463415,25.0,22.058823529411764,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=1.0000,76.16000000000001,35.1219512195122,47.2689075630252,0.7430243902439027,0.7430243902439025,-12.146956343513004,,INCAPABLE
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,GRADUAL,0.6634146341463415,25.0,22.058823529411764,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7500,74.12,35.1219512195122,48.56988667026443,0.7231219512195123,0.7430243902439025,-13.447935450752233,,INCAPABLE
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MILD,0.25,RECOVERING,0.6634146341463415,25.0,22.058823529411764,3,False,peak_cycle_multiplier=1.1200; profile_average_fraction=0.7000,73.712,35.1219512195122,48.83872368135446,0.7191414634146343,0.7430243902439025,-13.716772461842261,,INCAPABLE
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,STEP,0.6634146341463415,40.0,35.294117647058826,3,False,peak_cycle_multiplier=1.4500; profile_average_fraction=1.0000,98.6,35.1219512195122,36.51115618661258,0.9619512195121951,0.9619512195121951,-1.3892049671003832,,HARD_NEGATIVE
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,GRADUAL,0.6634146341463415,40.0,35.294117647058826,3,False,peak_cycle_multiplier=1.4500; profile_average_fraction=0.7500,90.94999999999999,35.1219512195122,39.58218801539308,0.8873170731707316,0.9619512195121951,-4.460236795880881,,HARD_NEGATIVE
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,MODERATE,0.55,RECOVERING,0.6634146341463415,40.0,35.294117647058826,3,False,peak_cycle_multiplier=1.4500; profile_average_fraction=0.7000,89.42,35.1219512195122,40.25944978751957,0.872390243902439,0.9619512195121951,-5.1374985680073735,,HARD_NEGATIVE
S34,Electrical Connection / System Check,final_assembly,MANUAL_ASSEMBLY,MANUAL_VARIATION,SUPERVISED,SEVERE,0.9,STEP,0.6634146341463415,60.0,52.94117647058823,3,False,peak_cycle_multiplier=1.6500; profile_average_fraction=1.0000,112.19999999999999,35.1219512195122,32.0855614973262,1.0946341463414635,1.0946341463414635,3.0363897221859943,59.28092783505149,POSITIVE_CAPABLE
