record_type,dimension,key_1,key_2,run_count,positive_run_count,positive_rate,targeted_run_count,direct_target_positive_run_count,empirical_impact_positive_run_count,analytic_status,empirical_status,analytic_positive_mechanisms,empirical_positive_mechanisms,empirical_positive_severities,empirical_positive_profiles,median_time_to_impact_seconds,median_congestion_duration_seconds,positive_count,occupancy_min,occupancy_p25,occupancy_median,occupancy_p75,occupancy_p90,occupancy_max,minimum_peak_capacity_headroom_fraction,maximum_sustained_arrival_service_deficit_vehicles_per_hour,at_least_50_count,at_least_75_count,at_least_90_count,recovering_preimpact_hard_negative_count,recovering_preimpact_hard_negative_fraction
distribution,mechanism,ARRIVAL_BURST,,30,13,0.43333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism,MANUAL_VARIATION,,135,18,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism,MICRO_STOPS,,54,14,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,severity,MILD,,73,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,severity,MODERATE,,73,4,0.0547945205479452,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,severity,SEVERE,,73,41,0.5616438356164384,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,temporal_profile,GRADUAL,,63,7,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,temporal_profile,RAMP_BURST,,15,6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,temporal_profile,RECOVERING,,63,8,0.12698412698412698,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,temporal_profile,STEP,,63,17,0.2698412698412698,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,temporal_profile,STEP_BURST,,15,7,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,ARRIVAL_BURST,MILD,10,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,ARRIVAL_BURST,MODERATE,10,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,ARRIVAL_BURST,SEVERE,10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,MANUAL_VARIATION,MILD,45,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,MANUAL_VARIATION,MODERATE,45,1,0.022222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,MANUAL_VARIATION,SEVERE,45,17,0.37777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,MICRO_STOPS,MILD,18,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,MICRO_STOPS,MODERATE,18,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,mechanism_x_severity,MICRO_STOPS,SEVERE,18,14,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S11,ARRIVAL_BURST,30,10,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S11,MANUAL_VARIATION,27,7,0.25925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S11,MICRO_STOPS,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S20,ARRIVAL_BURST,30,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S20,MANUAL_VARIATION,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S20,MICRO_STOPS,27,8,0.2962962962962963,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S21,ARRIVAL_BURST,30,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S21,MANUAL_VARIATION,27,1,0.037037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S21,MICRO_STOPS,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S22,ARRIVAL_BURST,30,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S22,MANUAL_VARIATION,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S22,MICRO_STOPS,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S24,ARRIVAL_BURST,30,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S24,MANUAL_VARIATION,27,5,0.18518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S24,MICRO_STOPS,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S26,ARRIVAL_BURST,30,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S26,MANUAL_VARIATION,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S26,MICRO_STOPS,27,6,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
station_mechanism,station_x_mechanism,S34,ARRIVAL_BURST,30,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
