split,run_id,total_units,pass_units,defective_units,actual_defect_rate,actual_defect_percent,final_station
train,train_001_baseline_2p0pct,436,435,1,0.0022935779816513763,0.22935779816513763,S31
train,train_002_intermittent_3p5pct,437,437,0,0.0,0.0,S31
train,train_003_intermittent_late_4p5pct,431,428,3,0.0069605568445475635,0.6960556844547564,S31
train,train_004_accelerating_5p5pct,432,426,6,0.013888888888888888,1.3888888888888888,S31
train,train_005_accelerating_hard_6p0pct,424,422,2,0.0047169811320754715,0.4716981132075472,S31
train,train_006_multi_hard_6p5pct,412,403,9,0.021844660194174758,2.1844660194174756,S31
train,train_007_multi_hard_2_7p0pct,411,400,11,0.0267639902676399,2.67639902676399,S31
train,train_008_baseline_7p2pct,438,430,8,0.0182648401826484,1.82648401826484,S31
train,train_009_intermittent_7p5pct,437,431,6,0.013729977116704805,1.3729977116704806,S31
train,train_010_intermittent_late_7p8pct,437,426,11,0.02517162471395881,2.517162471395881,S31
train,train_011_accelerating_8p0pct,434,425,9,0.020737327188940093,2.0737327188940093,S31
train,train_012_accelerating_hard_8p2pct,418,411,7,0.01674641148325359,1.674641148325359,S31
train,train_013_multi_hard_8p5pct,409,395,14,0.034229828850855744,3.4229828850855744,S31
train,train_014_multi_hard_2_8p8pct,416,406,10,0.02403846153846154,2.4038461538461537,S31
train,train_015_baseline_9p0pct,432,421,11,0.02546296296296296,2.5462962962962963,S31
train,train_016_intermittent_9p5pct,430,416,14,0.03255813953488372,3.255813953488372,S31
train,train_017_intermittent_late_10p0pct,440,413,27,0.06136363636363636,6.136363636363637,S31
train,train_018_accelerating_10p5pct,436,423,13,0.02981651376146789,2.981651376146789,S31
train,train_019_accelerating_hard_12p0pct,420,398,22,0.05238095238095238,5.238095238095238,S31
train,train_020_multi_hard_15p0pct,408,373,35,0.0857843137254902,8.57843137254902,S31
validation,validation_001_intermittent_late_4p0pct,436,434,2,0.0045871559633027525,0.45871559633027525,S31
validation,validation_002_accelerating_6p8pct,435,428,7,0.016091954022988506,1.6091954022988506,S31
validation,validation_003_accelerating_hard_8p0pct,419,407,12,0.028639618138424822,2.863961813842482,S31
validation,validation_004_multi_hard_9p8pct,403,389,14,0.034739454094292806,3.4739454094292803,S31
validation,validation_005_multi_hard_2_13p0pct,407,379,28,0.0687960687960688,6.87960687960688,S31
