candidate,family,components,target_unit_positive_rate,number_of_models,effective_training_unit_positive_rate,mean_fold_pr_auc,std_fold_pr_auc,minimum_fold_pr_auc,pooled_oof_pr_auc,pooled_oof_roc_auc,pooled_oof_brier,pooled_oof_log_loss,pooled_oof_ece15,selected_raw_alert_policy,raw_alert_threshold,oof_unit_recall,oof_false_warning_rate,oof_unit_precision,oof_median_first_alert_station_index,selected_final
natural,baseline,natural,,1,0.02565000853058954,0.3180719273966474,0.05539946356329393,0.25199301386852385,0.3143161829581664,0.7805938454629024,0.01994492835704721,0.09199951375286756,0.0013868466832064053,two_of_three,0.12885994787940522,0.8447488584474886,0.030051688904916458,0.42528735632183906,16.0,False
bagging_4p5pct_x5,bagging,balanced_bagging,0.045,5,0.04499926201140521,0.32280531679437197,0.057640757623037095,0.25502907970825367,0.3217055302269585,0.7867220794805116,0.020111493588961568,0.0944508590077086,0.013503125389198302,two_of_three,0.16607617226675897,0.8493150684931506,0.04243298473374204,0.3450834879406308,16.0,False
bagging_4p5pct_x7,bagging,balanced_bagging,0.045,7,0.04499926201140521,0.3245178804356309,0.057984022685699695,0.2555053502705807,0.3241029942817285,0.787176908666468,0.02006123971527308,0.09429341354915155,0.013546280631148705,ema_0.3,0.1376649962925665,0.8493150684931506,0.04387546580117803,0.33756805807622503,16.0,False
bagging_5p0pct_x5,bagging,balanced_bagging,0.05,5,0.049999999999999996,0.3237401564529351,0.0567782157260683,0.25818390452595996,0.323082005809808,0.7878149244706985,0.020238592262030727,0.09592465947603472,0.01693376293375753,raw,0.2154867703185923,0.8493150684931506,0.04700084144728934,0.3223570190641248,15.0,False
bagging_5p0pct_x7,bagging,balanced_bagging,0.05,7,0.049999999999999996,0.32367939572785964,0.05768252614359893,0.255613479962118,0.3228696879680828,0.7874105379060203,0.020249651526561118,0.09598354903681622,0.01696410119563754,raw,0.224836305124223,0.8493150684931506,0.04459670633489602,0.3339317773788151,15.0,False
bagging_5p5pct_x5,bagging,balanced_bagging,0.055,5,0.05500441819184143,0.3229473127220663,0.05749044991313094,0.2525231679735352,0.32115134221167213,0.786542345070965,0.02060727461810143,0.0981419807744009,0.02065988030250504,raw,0.23894018138835552,0.8538812785388128,0.04796249549224666,0.3191126279863481,15.0,False
bagging_5p5pct_x7,bagging,balanced_bagging,0.055,7,0.05500441819184143,0.3243066604725529,0.05810253222224527,0.25192854391875696,0.32258077335928426,0.7883451292692228,0.020591514109094697,0.0980053227843979,0.02068198984507571,raw,0.2354138190715425,0.8493150684931506,0.048202909003486,0.31686541737649065,15.0,False
hard_negative_top10_bagging_5p0pct_x5,hard_negative,balanced_bagging+hard_negative_top10,0.05,5,0.05,0.32011271812306663,0.0606729169474147,0.24586358013450954,0.3156907732398039,0.7875533290166241,0.020146780945950866,0.09539137846936738,0.015165375621184453,ema_0.3,0.12037922486489627,0.8401826484018264,0.03558119966342108,0.38333333333333336,16.0,False
hard_positive_w1p5_natural,hard_positive,natural+hard_positive_weight_1.5,,1,0.02565000853058954,0.32201859274555905,0.054781887369845496,0.26207879162542713,0.31743257074047443,0.7839431773944945,0.01992928256680536,0.09187521888094496,0.0024996343214007716,ema_0.3,0.09092726276647903,0.8493150684931506,0.04111071042192571,0.3522727272727273,16.0,False
hard_positive_w2p0_natural,hard_positive,natural+hard_positive_weight_2.0,,1,0.02565000853058954,0.3177630976111751,0.058061256343008176,0.25805932658126995,0.313600990674116,0.7794125597702324,0.02000360259736739,0.09262508974292298,0.004278140208555274,raw,0.1421320160758933,0.863013698630137,0.04411587931241736,0.33992805755395683,15.0,True
stage_specialized_natural,stage_specialized,stage_specialized,,3,0.02565000853058954,0.3342532952749789,0.05731053474892376,0.25013813217797215,0.3316540991317815,0.7919565793194736,0.0195539795833343,0.0909203565756444,0.00227487460440208,ema_0.3,0.07961619920067452,0.8493150684931506,0.04952518331530232,0.3110367892976589,15.0,False
