candidate,family,fold,train_runs,validation_runs,models_in_candidate,effective_training_unit_positive_rate_mean,hard_negative_units,hard_positive_units,heldout_rows,heldout_units,heldout_row_positive_rate,pr_auc,roc_auc,brier,log_loss,ece15,mean_predicted_probability,actual_positive_rate
natural,baseline,1,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_006_multi_hard_6p5pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_017_intermittent_late_10p0pct,1,0.02532572097789489,0,0,51210,1707,0.026947861745752782,0.2978666339250558,0.7647437664872159,0.02117679216830637,0.09794401361621441,0.0026763091417441294,0.026119500187512672,0.026947861745752782
natural,baseline,2,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_003_intermittent_late_4p5pct|train_008_baseline_7p2pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct,1,0.02680140597539543,0,0,51300,1710,0.021052631578947368,0.25199301386852385,0.7622160917887222,0.017771000537779903,0.08354659319621556,0.002558117130645968,0.022548657599681665,0.021052631578947368
natural,baseline,3,train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_020_multi_hard_15p0pct,train_001_baseline_2p0pct|train_006_multi_hard_6p5pct|train_010_intermittent_late_7p8pct|train_019_accelerating_hard_12p0pct,1,0.025757354017269134,0,0,51150,1705,0.025219941348973606,0.3605108796508378,0.768966695895795,0.01866248911979449,0.08897669415164021,0.0019253954502052389,0.023586050412552125,0.025219941348973606
natural,baseline,4,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_009_intermittent_7p5pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_018_accelerating_10p5pct,1,0.02678963548528766,0,0,51210,1707,0.0210896309314587,0.27751032368712053,0.8155036257582138,0.016923065590068283,0.0786354504240418,0.008393457760463735,0.02770550294468942,0.0210896309314587
natural,baseline,5,train_001_baseline_2p0pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct,train_002_intermittent_3p5pct|train_011_accelerating_8p0pct|train_016_intermittent_9p5pct|train_020_multi_hard_15p0pct,1,0.0235759261971006,0,0,51270,1709,0.03393797542422469,0.4024787858516991,0.8041024132593505,0.02518747001174387,0.11088400550684069,0.010024029000026644,0.02391394642419805,0.03393797542422469
bagging_4p5pct_x5,bagging,1,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_006_multi_hard_6p5pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_017_intermittent_late_10p0pct,5,0.04500520291363164,0,0,51210,1707,0.026947861745752782,0.30666296020879136,0.7679700401655485,0.021596080245396384,0.10102824197475772,0.015160941067404064,0.04177266433157297,0.026947861745752782
bagging_4p5pct_x5,bagging,2,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_003_intermittent_late_4p5pct|train_008_baseline_7p2pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct,5,0.04499631177772313,0,0,51300,1710,0.021052631578947368,0.25502907970825367,0.7551403730991046,0.01818003915156239,0.08696935185513939,0.013010973776805027,0.03390320739942222,0.021052631578947368
bagging_4p5pct_x5,bagging,3,train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_011_accelerating_8p0pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_020_multi_hard_15p0pct,train_001_baseline_2p0pct|train_006_multi_hard_6p5pct|train_010_intermittent_late_7p8pct|train_019_accelerating_hard_12p0pct,5,0.04500127844541039,0,0,51150,1705,0.025219941348973606,0.3732431250618986,0.7811342378815722,0.018577182936863074,0.0900473070120756,0.013186455219775229,0.037108855599457986,0.025219941348973606
bagging_4p5pct_x5,bagging,4,train_001_baseline_2p0pct|train_002_intermittent_3p5pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_010_intermittent_late_7p8pct|train_011_accelerating_8p0pct|train_013_multi_hard_8p5pct|train_015_baseline_9p0pct|train_016_intermittent_9p5pct|train_017_intermittent_late_10p0pct|train_019_accelerating_hard_12p0pct|train_020_multi_hard_15p0pct,train_009_intermittent_7p5pct|train_012_accelerating_hard_8p2pct|train_014_multi_hard_2_8p8pct|train_018_accelerating_10p5pct,5,0.04499631177772313,0,0,51210,1707,0.0210896309314587,0.2737671540675538,0.8160315125119135,0.01784793592922311,0.08585652925128912,0.021360246978167845,0.042449877909626545,0.0210896309314587
bagging_4p5pct_x5,bagging,5,train_001_baseline_2p0pct|train_003_intermittent_late_4p5pct|train_004_accelerating_5p5pct|train_005_accelerating_hard_6p0pct|train_006_multi_hard_6p5pct|train_007_multi_hard_2_7p0pct|train_008_baseline_7p2pct|train_009_intermittent_7p5pct|train_010_intermittent_late_7p8pct|train_012_accelerating_hard_8p2pct|train_013_multi_hard_8p5pct|train_014_multi_hard_2_8p8pct|train_015_baseline_9p0pct|train_017_intermittent_late_10p0pct|train_018_accelerating_10p5pct|train_019_accelerating_hard_12p0pct,train_002_intermittent_3p5pct|train_011_accelerating_8p0pct|train_016_intermittent_9p5pct|train_020_multi_hard_15p0pct,5,0.04499720514253774,0,0,51270,1709,0.03393797542422469,0.40532426492536255,0.8119611880411499,0.024352857107053934,0.1083445755395417,0.009596884465258427,0.040536408143452135,0.03393797542422469
