run_id,rows,positive_rate,pr_auc,roc_auc,brier,log_loss,ece15,mean_predicted_probability,actual_positive_rate,units,positive_units,negative_units,unit_recall,false_warning_rate,unit_precision,median_first_alert_station_index,alerted_positive_units,alerted_negative_units
train_001_baseline_2p0pct,13080,0.0022935779816513763,0.0020795590561920258,0.4627432950191571,0.0027788531551427575,0.028168635321265345,0.015362349628187649,0.01765592760983903,0.0022935779816513763,436,1,435,0.0,0.011494252873563218,0.0,,0,5
train_002_intermittent_3p5pct,13110,0.0,0.0,,0.0009034234514263013,0.017959933930730598,0.01724746261097773,0.017247462610977732,0.0,437,0,437,,0.006864988558352402,0.0,,0,3
train_003_intermittent_late_4p5pct,12930,0.0069605568445475635,0.30439676008995803,0.8457307892004153,0.005780346074126454,0.037553129807095374,0.01477399781864628,0.021011551349381784,0.0069605568445475635,431,3,428,1.0,0.009345794392523364,0.42857142857142855,16.0,3,4
train_004_accelerating_5p5pct,12960,0.013888888888888888,0.11965544064410355,0.6543909754825248,0.01401594351614419,0.07492056840908366,0.014351671859971701,0.028160766062067268,0.013888888888888888,432,6,426,0.6666666666666666,0.07276995305164319,0.11428571428571428,16.0,4,31
train_005_accelerating_hard_6p0pct,12720,0.0047169811320754715,0.22231207401713007,0.661862822538178,0.0046015495584241905,0.03454826744588205,0.014364724655018672,0.017831646567908217,0.0047169811320754715,424,2,422,0.5,0.009478672985781991,0.2,15.0,1,4
train_006_multi_hard_6p5pct,12360,0.021844660194174758,0.2592719140644345,0.7748001102839812,0.017989872040037994,0.08580278082336873,0.015527970304036113,0.03563405952237872,0.021844660194174758,412,9,403,0.8888888888888888,0.10421836228287841,0.16,15.0,8,42
train_007_multi_hard_2_7p0pct,12330,0.0267639902676399,0.10483646255096594,0.6875405303030303,0.02705275559462587,0.11939288744671536,0.011682242931615223,0.03828233065761848,0.0267639902676399,411,11,400,0.9090909090909091,0.1425,0.14925373134328357,15.0,10,57
train_008_baseline_7p2pct,13140,0.0182648401826484,0.32453243500721113,0.763358688630491,0.014159704386025526,0.07088855077668735,0.007234148189480868,0.022412215888218883,0.0182648401826484,438,8,430,0.875,0.009302325581395349,0.6363636363636364,15.0,7,4
train_009_intermittent_7p5pct,13110,0.013729977116704805,0.36610781235839596,0.8383195840852453,0.01059664570981423,0.055422959708554105,0.011382487048502733,0.02242773048441033,0.013729977116704805,437,6,431,1.0,0.02320185614849188,0.375,15.0,6,10
train_010_intermittent_late_7p8pct,13110,0.02517162471395881,0.4107112403099308,0.8129598804950917,0.017434765175287727,0.08287500823507594,0.0045292683984207395,0.025789937597630003,0.02517162471395881,437,11,426,0.8181818181818182,0.009389671361502348,0.6923076923076923,16.0,9,4
train_011_accelerating_8p0pct,13020,0.020737327188940093,0.23242465403989507,0.6821541031227306,0.01768793988464984,0.08934459215410633,0.008000697537415837,0.026928974677932274,0.020737327188940093,434,9,425,0.7777777777777778,0.0611764705882353,0.21212121212121213,16.0,7,26
train_012_accelerating_hard_8p2pct,12540,0.01674641148325359,0.23246621812198692,0.8384795118371761,0.014394762354439044,0.06812324840423664,0.01199597024248078,0.024512886374822476,0.01674641148325359,418,7,411,1.0,0.0170316301703163,0.5,16.0,7,7
train_013_multi_hard_8p5pct,12270,0.034229828850855744,0.18486913784689743,0.6921081977094636,0.03201635655491494,0.13720711734939808,0.010082943645335251,0.034434245166591895,0.034229828850855744,409,14,395,0.8571428571428571,0.07088607594936709,0.3,16.0,12,28
train_014_multi_hard_2_8p8pct,12480,0.02403846153846154,0.17721318661913674,0.7320915435139573,0.022503196564024004,0.10453534950458848,0.019455757463368386,0.04309304343908416,0.02403846153846154,416,10,406,0.8,0.15270935960591134,0.11428571428571428,15.0,8,62
train_015_baseline_9p0pct,12960,0.02546296296296296,0.3174649676657748,0.7631723409870679,0.019612742578225564,0.09294621417951429,0.002610587370765513,0.024518312347527584,0.02546296296296296,432,11,421,0.7272727272727273,0.021377672209026127,0.47058823529411764,15.0,8,9
train_016_intermittent_9p5pct,12900,0.03255813953488372,0.47048299878546235,0.863386465964591,0.021669539813327685,0.09690397713691867,0.007100473380789073,0.025457666154094644,0.03255813953488372,430,14,416,0.8571428571428571,0.007211538461538462,0.8,15.0,12,3
train_017_intermittent_late_10p0pct,13200,0.06136363636363636,0.5204862223917031,0.8154861547046104,0.03918244555319816,0.16688577181526734,0.026323584973988432,0.035040051389647935,0.06136363636363636,440,27,413,0.9259259259259259,0.014527845036319613,0.8064516129032258,16.0,25,6
train_018_accelerating_10p5pct,13080,0.02981651376146789,0.3677263690629687,0.8443140166899032,0.022170532517455998,0.09720164704872253,0.009138879032063976,0.03595443706993897,0.02981651376146789,436,13,423,0.9230769230769231,0.05673758865248227,0.3333333333333333,15.0,12,24
train_019_accelerating_hard_12p0pct,12600,0.05238095238095238,0.4607668379728465,0.7932212831835947,0.036795826587382,0.15720278305128985,0.02196007755789809,0.0304208748230543,0.05238095238095238,420,22,398,0.8181818181818182,0.017587939698492462,0.72,15.5,18,7
train_020_multi_hard_15p0pct,12240,0.0857843137254902,0.4801659942851852,0.7581810289799567,0.062264323034378524,0.24775745594034948,0.04484327887048575,0.040941034855004436,0.0857843137254902,408,35,373,0.9142857142857143,0.08310991957104558,0.5079365079365079,16.0,32,31
