sequence,timestamp_ms,record_type,event_id,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms,dark_zone_id,checkpoint_id,sensor_type,sensor_value,sensor_unit,check_type,check_result
1,0,STATION,EV000001,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,36659,,,,,,,
2,0,SENSOR,,SENSOR_READING,S01,,,,,,,,VIBRATION,0.80727,g,,
3,0,SENSOR,,SENSOR_READING,S01,,,,,,,,TEMPERATURE,42.6569,C,,
4,0,SENSOR,,SENSOR_READING,S01,,,,,,,,CURRENT,12.7989,A,,
5,0,SENSOR,,SENSOR_READING,S01,,,,,,,,TORQUE,51.1425,Nm,,
6,0,SENSOR,,SENSOR_READING,S02,,,,,,,,VIBRATION,0.190858,g,,
7,0,SENSOR,,SENSOR_READING,S02,,,,,,,,TEMPERATURE,39.9433,C,,
8,0,SENSOR,,SENSOR_READING,S02,,,,,,,,CURRENT,2.00614,A,,
9,0,SENSOR,,SENSOR_READING,S02,,,,,,,,TORQUE,13.0391,Nm,,
10,0,SENSOR,,SENSOR_READING,S06,,,,,,,,VIBRATION,0.144886,g,,
11,0,SENSOR,,SENSOR_READING,S06,,,,,,,,TEMPERATURE,39.8485,C,,
12,0,SENSOR,,SENSOR_READING,S06,,,,,,,,CURRENT,2.18609,A,,
13,0,SENSOR,,SENSOR_READING,S06,,,,,,,,TORQUE,13.2374,Nm,,
14,0,SENSOR,,SENSOR_READING,S16,,,,,,,,VIBRATION,0.145481,g,,
15,0,SENSOR,,SENSOR_READING,S16,,,,,,,,TEMPERATURE,40.1215,C,,
16,0,SENSOR,,SENSOR_READING,S16,,,,,,,,CURRENT,2.0545,A,,
17,0,SENSOR,,SENSOR_READING,S16,,,,,,,,TORQUE,14.058,Nm,,
18,0,SENSOR,,SENSOR_READING,S32,,,,,,,,VIBRATION,0.183072,g,,
19,0,SENSOR,,SENSOR_READING,S32,,,,,,,,TEMPERATURE,39.3227,C,,
20,0,SENSOR,,SENSOR_READING,S15,,,,,,,,VIBRATION,0.183912,g,,
21,0,SENSOR,,SENSOR_READING,S15,,,,,,,,TEMPERATURE,39.6744,C,,
22,0,SENSOR,,SENSOR_READING,S15,,,,,,,,CURRENT,2.24643,A,,
23,0,SENSOR,,SENSOR_READING,S15,,,,,,,,TORQUE,12.4309,Nm,,
24,0,SENSOR,,SENSOR_READING,S05,,,,,,,,VIBRATION,0.286167,g,,
25,0,SENSOR,,SENSOR_READING,S05,,,,,,,,TEMPERATURE,40.1466,C,,
26,0,SENSOR,,SENSOR_READING,S05,,,,,,,,CURRENT,2.47189,A,,
27,0,SENSOR,,SENSOR_READING,S05,,,,,,,,TORQUE,13.4504,Nm,,
28,0,SENSOR,,SENSOR_READING,S14,,,,,,,,VIBRATION,0.180377,g,,
29,0,SENSOR,,SENSOR_READING,S14,,,,,,,,TEMPERATURE,39.8212,C,,
30,0,SENSOR,,SENSOR_READING,S31,,,,,,,,VIBRATION,0.188227,g,,
31,0,SENSOR,,SENSOR_READING,S31,,,,,,,,TEMPERATURE,39.7338,C,,
32,0,SENSOR,,SENSOR_READING,S29,,,,,,,,VIBRATION,0.233541,g,,
33,0,SENSOR,,SENSOR_READING,S29,,,,,,,,TEMPERATURE,39.5677,C,,
34,0,SENSOR,,SENSOR_READING,S29,,,,,,,,CURRENT,2.29656,A,,
35,0,SENSOR,,SENSOR_READING,S29,,,,,,,,TORQUE,12.0904,Nm,,
36,0,SENSOR,,SENSOR_READING,S12,,,,,,,,VIBRATION,0.165158,g,,
37,0,SENSOR,,SENSOR_READING,S12,,,,,,,,TEMPERATURE,39.6388,C,,
38,0,SENSOR,,SENSOR_READING,S12,,,,,,,,CURRENT,2.12608,A,,
39,0,SENSOR,,SENSOR_READING,S12,,,,,,,,TORQUE,13.0963,Nm,,
40,0,SENSOR,,SENSOR_READING,S28,,,,,,,,VIBRATION,0.192831,g,,
41,0,SENSOR,,SENSOR_READING,S28,,,,,,,,TEMPERATURE,40.0177,C,,
42,0,SENSOR,,SENSOR_READING,S28,,,,,,,,CURRENT,2.27882,A,,
43,0,SENSOR,,SENSOR_READING,S28,,,,,,,,TORQUE,12.9846,Nm,,
44,0,SENSOR,,SENSOR_READING,S27,,,,,,,,VIBRATION,0.17523,g,,
45,0,SENSOR,,SENSOR_READING,S27,,,,,,,,TEMPERATURE,40.1572,C,,
46,0,SENSOR,,SENSOR_READING,S03,,,,,,,,VIBRATION,0.168995,g,,
47,0,SENSOR,,SENSOR_READING,S03,,,,,,,,TEMPERATURE,39.8476,C,,
48,0,SENSOR,,SENSOR_READING,S03,,,,,,,,CURRENT,2.30402,A,,
49,0,SENSOR,,SENSOR_READING,S03,,,,,,,,TORQUE,11.9128,Nm,,
50,0,SENSOR,,SENSOR_READING,S04,,,,,,,,VIBRATION,0.189705,g,,
51,0,SENSOR,,SENSOR_READING,S04,,,,,,,,TEMPERATURE,39.9022,C,,
52,0,SENSOR,,SENSOR_READING,S11,,,,,,,,VIBRATION,0.20755,g,,
53,0,SENSOR,,SENSOR_READING,S11,,,,,,,,TEMPERATURE,40.0779,C,,
54,0,SENSOR,,SENSOR_READING,S11,,,,,,,,CURRENT,2.21143,A,,
55,0,SENSOR,,SENSOR_READING,S11,,,,,,,,TORQUE,12.7352,Nm,,
56,0,SENSOR,,SENSOR_READING,S26,,,,,,,,VIBRATION,0.164218,g,,
57,0,SENSOR,,SENSOR_READING,S26,,,,,,,,TEMPERATURE,39.6819,C,,
58,0,SENSOR,,SENSOR_READING,S26,,,,,,,,CURRENT,2.25449,A,,
59,0,SENSOR,,SENSOR_READING,S26,,,,,,,,TORQUE,12.6315,Nm,,
60,0,SENSOR,,SENSOR_READING,S25,,,,,,,,VIBRATION,0.210859,g,,
61,0,SENSOR,,SENSOR_READING,S25,,,,,,,,TEMPERATURE,40.0427,C,,
62,0,SENSOR,,SENSOR_READING,S25,,,,,,,,CURRENT,2.17669,A,,
63,0,SENSOR,,SENSOR_READING,S25,,,,,,,,TORQUE,12.8229,Nm,,
64,0,SENSOR,,SENSOR_READING,S10,,,,,,,,VIBRATION,0.165868,g,,
