event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms,dark_zone_id
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,36659,
EV000002,36659,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,36659,
EV000003,36659,UNIT_ARRIVED,S02,U000001,1,,,,
EV000004,36659,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,44081,
EV000005,36659,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,37769,
EV000006,74428,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,37769,
EV000007,74428,UNIT_ARRIVED,S02,U000002,1,,,,
EV000008,74428,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,36655,
EV000009,80740,PROCESSING_COMPLETED,S02,U000001,1,PROCESSING,,44081,
EV000010,80740,UNIT_ARRIVED,S03,U000001,1,,,,
EV000011,80740,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,43062,
EV000012,80740,PROCESSING_STARTED,S02,U000002,0,IDLE,PROCESSING,33829,
EV000013,111083,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,36655,
EV000014,111083,UNIT_ARRIVED,S02,U000003,1,,,,
EV000015,111083,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,37478,
EV000016,114569,PROCESSING_COMPLETED,S02,U000002,1,PROCESSING,,33829,
EV000017,114569,UNIT_ARRIVED,S03,U000002,1,,,,
EV000018,114569,PROCESSING_STARTED,S02,U000003,0,IDLE,PROCESSING,36456,
EV000019,123802,PROCESSING_COMPLETED,S03,U000001,1,PROCESSING,,43062,
EV000020,123802,UNIT_ARRIVED,S04,U000001,1,,,,
EV000021,123802,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,38576,
EV000022,123802,PROCESSING_STARTED,S03,U000002,0,IDLE,PROCESSING,42241,
EV000023,148561,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,37478,
EV000024,148561,UNIT_ARRIVED,S02,U000004,1,,,,
EV000025,148561,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,35870,
EV000026,151025,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,36456,
EV000027,151025,UNIT_ARRIVED,S03,U000003,1,,,,
EV000028,151025,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,41108,
EV000029,162378,PROCESSING_COMPLETED,S04,U000001,0,PROCESSING,,38576,
EV000030,162378,UNIT_ARRIVED,S05,U000001,1,,,,
EV000031,162378,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,42560,
EV000032,166043,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,42241,
EV000033,166043,UNIT_ARRIVED,S04,U000002,1,,,,
EV000034,166043,PROCESSING_STARTED,S04,U000002,0,STARVED,PROCESSING,40758,
EV000035,166043,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,43190,
EV000036,184431,PROCESSING_COMPLETED,S01,U000005,0,PROCESSING,,35870,
EV000037,184431,UNIT_ARRIVED,S02,U000005,1,,,,
EV000038,184431,PROCESSING_STARTED,S01,U000006,0,IDLE,PROCESSING,33596,
EV000039,192133,PROCESSING_COMPLETED,S02,U000004,1,PROCESSING,,41108,
EV000040,192133,UNIT_ARRIVED,S03,U000004,1,,,,
EV000041,192133,PROCESSING_STARTED,S02,U000005,0,IDLE,PROCESSING,41505,
EV000042,204938,PROCESSING_COMPLETED,S05,U000001,0,PROCESSING,,42560,
EV000043,204938,UNIT_ARRIVED,S06,U000001,1,,,,
EV000044,204938,PROCESSING_STARTED,S06,U000001,0,IDLE,PROCESSING,42894,
EV000045,206801,PROCESSING_COMPLETED,S04,U000002,0,PROCESSING,,40758,
EV000046,206801,UNIT_ARRIVED,S05,U000002,1,,,,
EV000047,206801,PROCESSING_STARTED,S05,U000002,0,STARVED,PROCESSING,47612,
EV000048,209233,PROCESSING_COMPLETED,S03,U000003,1,PROCESSING,,43190,
EV000049,209233,UNIT_ARRIVED,S04,U000003,1,,,,
EV000050,209233,PROCESSING_STARTED,S04,U000003,0,STARVED,PROCESSING,46768,
EV000051,209233,PROCESSING_STARTED,S03,U000004,0,IDLE,PROCESSING,32847,
EV000052,218027,PROCESSING_COMPLETED,S01,U000006,0,PROCESSING,,33596,
EV000053,218027,UNIT_ARRIVED,S02,U000006,1,,,,
EV000054,218027,PROCESSING_STARTED,S01,U000007,0,IDLE,PROCESSING,33126,
EV000055,233638,PROCESSING_COMPLETED,S02,U000005,1,PROCESSING,,41505,
EV000056,233638,UNIT_ARRIVED,S03,U000005,1,,,,
EV000057,233638,PROCESSING_STARTED,S02,U000006,0,IDLE,PROCESSING,41493,
EV000058,242080,PROCESSING_COMPLETED,S03,U000004,1,PROCESSING,,32847,
EV000059,242080,UNIT_ARRIVED,S04,U000004,1,,,,
EV000060,242080,PROCESSING_STARTED,S03,U000005,0,IDLE,PROCESSING,34366,
EV000061,247832,PROCESSING_COMPLETED,S06,U000001,0,PROCESSING,,42894,
EV000062,247832,UNIT_ARRIVED,S07,U000001,1,,,,
EV000063,247832,PROCESSING_STARTED,S07,U000001,0,IDLE,PROCESSING,46091,
EV000064,251153,PROCESSING_COMPLETED,S01,U000007,0,PROCESSING,,33126,
EV000065,251153,UNIT_ARRIVED,S02,U000007,1,,,,
EV000066,251153,PROCESSING_STARTED,S01,U000008,0,IDLE,PROCESSING,32972,
EV000067,254413,PROCESSING_COMPLETED,S05,U000002,0,PROCESSING,,47612,
EV000068,254413,UNIT_ARRIVED,S06,U000002,1,,,,
EV000069,254413,PROCESSING_STARTED,S06,U000002,0,STARVED,PROCESSING,41156,
EV000070,256001,PROCESSING_COMPLETED,S04,U000003,1,PROCESSING,,46768,
EV000071,256001,UNIT_ARRIVED,S05,U000003,1,,,,
EV000072,256001,PROCESSING_STARTED,S05,U000003,0,STARVED,PROCESSING,52006,
EV000073,256001,PROCESSING_STARTED,S04,U000004,0,IDLE,PROCESSING,40586,
EV000074,275131,PROCESSING_COMPLETED,S02,U000006,1,PROCESSING,,41493,
EV000075,275131,UNIT_ARRIVED,S03,U000006,1,,,,
EV000076,275131,PROCESSING_STARTED,S02,U000007,0,IDLE,PROCESSING,33719,
EV000077,276446,PROCESSING_COMPLETED,S03,U000005,1,PROCESSING,,34366,
EV000078,276446,UNIT_ARRIVED,S04,U000005,1,,,,
EV000079,276446,PROCESSING_STARTED,S03,U000006,0,IDLE,PROCESSING,41767,
EV000080,284125,PROCESSING_COMPLETED,S01,U000008,0,PROCESSING,,32972,
EV000081,284125,UNIT_ARRIVED,S02,U000008,1,,,,
EV000082,284125,PROCESSING_STARTED,S01,U000009,0,IDLE,PROCESSING,38125,
EV000083,293923,PROCESSING_COMPLETED,S07,U000001,0,PROCESSING,,46091,
EV000084,293923,UNIT_ARRIVED,S08,U000001,1,,,,
EV000085,293923,PROCESSING_STARTED,S08,U000001,0,IDLE,PROCESSING,54669,
EV000086,295569,PROCESSING_COMPLETED,S06,U000002,0,PROCESSING,,41156,
EV000087,295569,UNIT_ARRIVED,S07,U000002,1,,,,
EV000088,295569,PROCESSING_STARTED,S07,U000002,0,STARVED,PROCESSING,49745,
EV000089,296587,PROCESSING_COMPLETED,S04,U000004,1,PROCESSING,,40586,
EV000090,296587,UNIT_ARRIVED,S05,U000004,1,,,,
EV000091,296587,PROCESSING_STARTED,S04,U000005,0,IDLE,PROCESSING,45340,
EV000092,308007,PROCESSING_COMPLETED,S05,U000003,1,PROCESSING,,52006,
EV000093,308007,UNIT_ARRIVED,S06,U000003,1,,,,
EV000094,308007,PROCESSING_STARTED,S06,U000003,0,STARVED,PROCESSING,41375,
EV000095,308007,PROCESSING_STARTED,S05,U000004,0,IDLE,PROCESSING,47416,
EV000096,308850,PROCESSING_COMPLETED,S02,U000007,1,PROCESSING,,33719,
EV000097,308850,UNIT_ARRIVED,S03,U000007,1,,,,
EV000098,308850,PROCESSING_STARTED,S02,U000008,0,IDLE,PROCESSING,41867,
EV000099,318213,PROCESSING_COMPLETED,S03,U000006,1,PROCESSING,,41767,
EV000100,318213,UNIT_ARRIVED,S04,U000006,1,,,,
EV000101,318213,PROCESSING_STARTED,S03,U000007,0,IDLE,PROCESSING,40756,
EV000102,322250,PROCESSING_COMPLETED,S01,U000009,0,PROCESSING,,38125,
EV000103,322250,UNIT_ARRIVED,S02,U000009,1,,,,
