unit_id,created_at_ms,vehicle_model,supplier_batch
U000001,0,MODEL_A,BATCH_01
U000002,36659,MODEL_A,BATCH_01
U000003,74428,MODEL_A,BATCH_01
U000004,111083,MODEL_A,BATCH_01
U000005,148561,MODEL_B,BATCH_01
U000006,184431,MODEL_A,BATCH_01
U000007,218027,MODEL_A,BATCH_02
U000008,251153,MODEL_A,BATCH_01
U000009,284125,MODEL_A,BATCH_01
U000010,322250,MODEL_B,BATCH_01
U000011,356625,MODEL_A,BATCH_01
U000012,396434,MODEL_A,BATCH_01
U000013,429477,MODEL_A,BATCH_01
U000014,461041,MODEL_A,BATCH_02
U000015,498075,MODEL_B,BATCH_01
U000016,533108,MODEL_A,BATCH_01
U000017,567666,MODEL_A,BATCH_01
